"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Existing","6336-004-046","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","6336-004-017","Warehousing, Distribution, Storage","2020","2","43000"
"Existing","6336-004-006","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","6335-021-004","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","6332-005-026","Warehousing, Distribution, Storage","2016","2","43000"
"Existing","6332-002-015","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","6310-015-036","Warehousing, Distribution, Storage","2002","2","43000"
"Existing","6308-012-018","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","6308-008-025","Warehousing, Distribution, Storage","1996","2","43000"
"Existing","6308-002-015","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","6304-022-049","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","6304-021-013","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","6303-021-003","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","6225-005-903","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","6132-041-028","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","6125-013-050","Warehousing, Distribution, Storage","2009","2","43000"
"Existing","6125-001-003","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","6120-001-001","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","6102-002-031","Warehousing, Distribution, Storage","1988","2","43000"
"Existing","6009-038-042","Warehousing, Distribution, Storage","1984","2","43000"
"Existing","5126-001-017","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","4275-032-009","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","4125-016-031","Warehousing, Distribution, Storage","1990","2","43000"
"Existing","3128-009-101","Warehousing, Distribution, Storage","1998","2","43000"
"Existing","3128-009-100","Warehousing, Distribution, Storage","1995","2","43000"
"Existing","3126-027-136","Warehousing, Distribution, Storage","2000","2","43000"
"Existing","2836-015-026","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","2629-002-007","Warehousing, Distribution, Storage","1991","2","43000"
"Existing","2463-009-018","Warehousing, Distribution, Storage","1986","2","43000"
"Existing","2407-016-028","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","2061-006-035","Warehousing, Distribution, Storage","1980","2","43000"
"Existing","2054-029-049","Warehousing, Distribution, Storage","1987","2","43000"
"Planned and Approved","duke warehouse","TBD","2025","2","43000"
"Planned and Approved","boyle west warehouse","TBD","2025","2","43000"
"Existing","650090024","warehouse/dry storage","1986","2","42000"
"Existing","011364103","storage warehouse","1999","2","42000"
"Existing","014134111","transit warehouse (truck terminal)","1980","2","42000"
"Existing","021123252","storage warehouse","2000","2","42000"
"Existing","023102167","storage warehouse","1998","2","42000"
"Existing","023805124","storage warehouse","1989","2","42000"
"Existing","028023233","distribution warehouse","2019","2","42000"
"Existing","062121109","storage warehouse","1980","2","42000"
"Existing","100731125","storage warehouse","2002","2","42000"
"Existing","100731124","storage warehouse","2000","2","42000"
"Existing","100726122","storage warehouse","2014","2","42000"
"Existing","102158118","distribution warehouse","1984","2","42000"
"Existing","105045108","storage warehouse","2007","2","42000"
"Existing","312926176","storage warehouse","2007","2","42000"
"Existing","8760-025-069","Warehousing, Distribution, Storage","1998","2","42000"
"Existing","8760-009-022","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","8760-007-043","Warehousing, Distribution, Storage","1987","2","42000"
"Existing","8710-012-049","Warehousing, Distribution, Storage","1990","2","42000"
"Existing","8592-006-051","Warehousing, Distribution, Storage","2016","2","42000"
"Existing","8564-013-004","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","8535-022-004","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","8329-006-035","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","8208-024-049","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","8208-023-066","Warehousing, Distribution, Storage","1981","2","42000"
"Existing","8208-014-026","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","8059-003-032","Warehousing, Distribution, Storage","2019","2","42000"
"Existing","8011-021-029","Warehousing, Distribution, Storage","1990","2","42000"
"Existing","8011-004-063","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","8009-013-085","Warehousing, Distribution, Storage","1985","2","42000"
"Existing","8005-014-081","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","7352-017-021","Warehousing, Distribution, Storage","1998","2","42000"
"Existing","7347-017-078","Warehousing, Distribution, Storage","2001","2","42000"
"Existing","7339-006-032","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","7318-005-060","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","7317-001-023","Warehousing, Distribution, Storage","1985","2","42000"
"Existing","7315-040-004","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","7315-040-003","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","7306-023-062","Warehousing, Distribution, Storage","1990","2","42000"
"Existing","7206-022-073","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","7149-017-050","Warehousing, Distribution, Storage","2012","2","42000"
"Existing","7140-014-031","Warehousing, Distribution, Storage","1987","2","42000"
"Existing","7102-020-001","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","7102-001-036","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","7010-016-902","Warehousing, Distribution, Storage","1984","2","42000"
"Existing","7010-016-036","Warehousing, Distribution, Storage","1983","2","42000"
"Existing","7005-001-017","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6368-005-048","Warehousing, Distribution, Storage","2015","2","42000"
"Existing","6354-024-015","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6336-020-014","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6336-013-008","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6335-025-005","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6332-014-005","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6308-016-043","Warehousing, Distribution, Storage","1990","2","42000"
"Existing","6308-016-042","Warehousing, Distribution, Storage","1990","2","42000"
"Existing","6308-008-024","Warehousing, Distribution, Storage","1996","2","42000"
"Existing","6304-021-050","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6303-025-024","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6302-004-025","Warehousing, Distribution, Storage","1981","2","42000"
"Existing","6255-008-021","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6234-010-029","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6234-007-043","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6169-026-020","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6164-018-021","Warehousing, Distribution, Storage","2001","2","42000"
"Existing","6129-014-037","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6129-001-050","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6126-003-003","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6102-002-028","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","6102-001-033","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","5169-023-038","Warehousing, Distribution, Storage","2015","2","42000"
"Existing","5167-006-038","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","5164-008-021","Warehousing, Distribution, Storage","1988","2","42000"
"Existing","5164-001-009","Warehousing, Distribution, Storage","2003","2","42000"
"Existing","4268-014-013","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","4126-011-025","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","4036-006-903","Warehousing, Distribution, Storage","1987","2","42000"
"Existing","3271-027-024","Warehousing, Distribution, Storage","1999","2","42000"
"Existing","3271-025-068","Warehousing, Distribution, Storage","1998","2","42000"
"Existing","3128-009-103","Warehousing, Distribution, Storage","2006","2","42000"
"Existing","2506-011-006","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","2501-004-025","Warehousing, Distribution, Storage","1996","2","42000"
"Existing","2466-036-009","Warehousing, Distribution, Storage","2004","2","42000"
"Existing","2317-019-033","Warehousing, Distribution, Storage","1980","2","42000"
"Existing","2205-029-049","Warehousing, Distribution, Storage","2007","2","42000"
"Existing","249160016","warehouse/dry storage","1999","2","41000"
"Existing","250170035","warehouse/dry storage","1992","2","41000"
"Existing","961440006","warehouse/dry storage","1980","2","41000"
"Existing","011335122","storage warehouse","2008","2","41000"
"Existing","011335125","storage warehouse","2008","2","41000"
"Existing","011011113","storage warehouse","2021","2","41000"
"Existing","013640151","storage warehouse","1990","2","41000"
"Existing","013612243","storage warehouse","1980","2","41000"
"Existing","014107109","storage warehouse","1980","2","41000"
"Existing","014134112","distribution warehouse","1980","2","41000"
"Existing","020925111","distribution warehouse","1980","2","41000"
"Existing","020949105","storage warehouse","2011","2","41000"
"Existing","020901370","storage warehouse","2005","2","41000"
"Existing","022916206","storage warehouse","1980","2","41000"
"Existing","022926223","storage warehouse","1981","2","41000"
"Existing","023808173","storage warehouse","1989","2","41000"
"Existing","023818535","storage warehouse","1987","2","41000"
"Existing","027614416","storage warehouse","1988","2","41000"
"Existing","028025157","storage warehouse","2004","2","41000"
"Existing","040706112","storage warehouse","2011","2","41000"
"Existing","041007101","storage warehouse","1986","2","41000"
"Existing","062122126","storage warehouse","1980","2","41000"
"Existing","101949106","storage warehouse","2008","2","41000"
"Existing","102110140","storage warehouse","2004","2","41000"
"Existing","102850126","storage warehouse","1999","2","41000"
"Existing","105350106","storage warehouse","2014","2","41000"
"Existing","309127152","storage warehouse","1994","2","41000"
"Existing","312925143","storage warehouse","2007","2","41000"
"Existing","8727-012-038","Warehousing, Distribution, Storage","1998","2","41000"
"Existing","8619-019-036","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","8619-001-067","Warehousing, Distribution, Storage","1998","2","41000"
"Existing","8605-019-432","Warehousing, Distribution, Storage","1996","2","41000"
"Existing","8536-001-023","Warehousing, Distribution, Storage","2000","2","41000"
"Existing","8434-013-007","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","8371-011-016","Warehousing, Distribution, Storage","1981","2","41000"
"Existing","8348-022-025","Warehousing, Distribution, Storage","2007","2","41000"
"Existing","8348-006-017","Warehousing, Distribution, Storage","2008","2","41000"
"Existing","8327-023-032","Warehousing, Distribution, Storage","1990","2","41000"
"Existing","8326-010-023","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","8167-005-025","Warehousing, Distribution, Storage","2005","2","41000"
"Existing","8118-001-020","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","8069-007-036","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","8059-005-018","Warehousing, Distribution, Storage","1981","2","41000"
"Existing","8059-003-030","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","8059-002-024","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","8011-005-033","Warehousing, Distribution, Storage","2000","2","41000"
"Existing","8009-007-049","Warehousing, Distribution, Storage","1989","2","41000"
"Existing","8009-007-039","Warehousing, Distribution, Storage","1987","2","41000"
"Existing","8005-015-040","Warehousing, Distribution, Storage","2000","2","41000"
"Existing","7380-011-022","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","7377-013-002","Warehousing, Distribution, Storage","1999","2","41000"
"Existing","7347-018-083","Warehousing, Distribution, Storage","1987","2","41000"
"Existing","7345-009-012","Warehousing, Distribution, Storage","2006","2","41000"
"Existing","7330-009-904","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","7319-004-012","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","7318-015-013","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","7306-013-039","Warehousing, Distribution, Storage","1985","2","41000"
"Existing","7306-001-036","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","7271-005-003","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","7035-012-905","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","7010-015-045","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","7010-015-041","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","7010-015-038","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","6353-002-006","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","6336-011-012","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","6332-023-006","Warehousing, Distribution, Storage","2003","2","41000"
"Existing","6332-005-008","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","6308-001-046","Warehousing, Distribution, Storage","1989","2","41000"
"Existing","6304-021-043","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","6303-028-012","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","6303-020-009","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","6132-043-047","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","6125-018-004","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","5827-013-019","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","5746-013-032","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","5640-003-006","Warehousing, Distribution, Storage","1990","2","41000"
"Existing","5192-017-001","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","5172-010-001","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","5168-013-020","Warehousing, Distribution, Storage","2005","2","41000"
"Existing","5167-006-008","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","5120-021-032","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","4207-030-009","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","4204-002-901","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","4149-001-089","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","4056-032-057","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","4041-018-052","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","2866-018-002","Warehousing, Distribution, Storage","1988","2","41000"
"Existing","2866-013-080","Warehousing, Distribution, Storage","1998","2","41000"
"Existing","2746-007-022","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","2621-029-012","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","2537-014-050","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","2537-014-049","Warehousing, Distribution, Storage","1988","2","41000"
"Existing","2537-003-049","Warehousing, Distribution, Storage","1998","2","41000"
"Existing","2515-023-028","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","2506-003-010","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","2320-001-011","Warehousing, Distribution, Storage","1980","2","41000"
"Existing","2160-010-034","Warehousing, Distribution, Storage","1989","2","41000"
"Existing","2149-005-053","Warehousing, Distribution, Storage","2002","2","41000"
"Planned and Approved","sierra business center","TBD","2025","2","41000"
"Planned and Approved","sierra business center","TBD","2025","2","41000"
"Existing","115670012","warehouse/dry storage","1999","2","40000"
"Existing","291420023","warehouse/dry storage","1980","2","40000"
"Existing","541170030","warehouse/dry storage","2005","2","40000"
"Existing","669452040","warehouse/dry storage","1980","2","40000"
"Existing","650080034","warehouse/dry storage","1991","2","40000"
"Existing","210201002","warehouse/dry storage","1980","2","40000"
"Existing","210110036","warehouse/dry storage","2006","2","40000"
"Existing","909170018","warehouse/dry storage","1999","2","40000"
"Existing","011339430","storage warehouse","1998","2","40000"
"Existing","011339553","storage warehouse","2006","2","40000"
"Existing","011339509","storage warehouse","1987","2","40000"
"Existing","011349171","storage warehouse","1992","2","40000"
"Existing","016208626","storage warehouse","1980","2","40000"
"Existing","016431104","storage warehouse","1980","2","40000"
"Existing","021123249","storage warehouse","2000","2","40000"
"Existing","022926222","storage warehouse","1981","2","40000"
"Existing","023113185","storage warehouse","1995","2","40000"
"Existing","022926220","storage warehouse","1981","2","40000"
"Existing","023212155","storage warehouse","1997","2","40000"
"Existing","023811153","storage warehouse","2005","2","40000"
"Existing","029206331","storage warehouse","1980","2","40000"
"Existing","041016147","storage warehouse","2018","2","40000"
"Existing","041517111","storage warehouse","1986","2","40000"
"Existing","041524401","storage warehouse","1986","2","40000"
"Existing","107740151","storage warehouse","2003","2","40000"
"Existing","310512107","distribution warehouse","1980","2","40000"
"Existing","8719-021-003","Warehousing, Distribution, Storage","1999","2","40000"
"Existing","8719-001-018","Warehousing, Distribution, Storage","1985","2","40000"
"Existing","8707-018-012","Warehousing, Distribution, Storage","2001","2","40000"
"Existing","8707-018-008","Warehousing, Distribution, Storage","2001","2","40000"
"Existing","8619-019-049","Warehousing, Distribution, Storage","1985","2","40000"
"Existing","8619-019-046","Warehousing, Distribution, Storage","1985","2","40000"
"Existing","8617-001-032","Warehousing, Distribution, Storage","2020","2","40000"
"Existing","8592-006-043","Warehousing, Distribution, Storage","2016","2","40000"
"Existing","8578-011-011","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","8535-024-018","Warehousing, Distribution, Storage","1997","2","40000"
"Existing","8535-024-017","Warehousing, Distribution, Storage","1997","2","40000"
"Existing","8535-011-019","Warehousing, Distribution, Storage","1984","2","40000"
"Existing","8378-027-005","Warehousing, Distribution, Storage","2002","2","40000"
"Existing","8377-026-004","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","8327-015-041","Warehousing, Distribution, Storage","2001","2","40000"
"Existing","8264-027-012","Warehousing, Distribution, Storage","1986","2","40000"
"Existing","8264-023-025","Warehousing, Distribution, Storage","1993","2","40000"
"Existing","8245-001-057","Warehousing, Distribution, Storage","1982","2","40000"
"Existing","8208-006-044","Warehousing, Distribution, Storage","1997","2","40000"
"Existing","8202-033-022","Warehousing, Distribution, Storage","2008","2","40000"
"Existing","8168-006-062","Warehousing, Distribution, Storage","2017","2","40000"
"Existing","8168-002-405","Warehousing, Distribution, Storage","1998","2","40000"
"Existing","8125-059-011","Warehousing, Distribution, Storage","1987","2","40000"
"Existing","8125-016-007","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","8011-017-018","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","8011-013-020","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","8011-013-019","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","8009-015-048","Warehousing, Distribution, Storage","1988","2","40000"
"Existing","8009-007-061","Warehousing, Distribution, Storage","1989","2","40000"
"Existing","8009-007-034","Warehousing, Distribution, Storage","1987","2","40000"
"Existing","8005-012-041","Warehousing, Distribution, Storage","1985","2","40000"
"Existing","7380-011-024","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","7319-004-010","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","7306-021-015","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","7306-014-056","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","7149-004-047","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","6369-002-005","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","6340-015-015","Warehousing, Distribution, Storage","1987","2","40000"
"Existing","6336-014-017","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","6336-010-019","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","6336-007-040","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","6336-004-034","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","6332-007-003","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","6310-017-001","Warehousing, Distribution, Storage","1993","2","40000"
"Existing","6310-014-022","Warehousing, Distribution, Storage","1998","2","40000"
"Existing","6304-021-037","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","6304-010-011","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","6303-003-016","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","6132-043-059","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","6132-003-006","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","6102-012-021","Warehousing, Distribution, Storage","2004","2","40000"
"Existing","5391-006-039","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","5243-019-019","Warehousing, Distribution, Storage","2000","2","40000"
"Existing","5223-037-020","Warehousing, Distribution, Storage","1989","2","40000"
"Existing","5167-019-063","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","5164-011-004","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","5047-014-006","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","4312-015-006","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","4223-009-006","Warehousing, Distribution, Storage","1985","2","40000"
"Existing","4143-016-096","Warehousing, Distribution, Storage","2004","2","40000"
"Existing","3005-046-021","Warehousing, Distribution, Storage","2006","2","40000"
"Existing","2866-009-042","Warehousing, Distribution, Storage","1980","2","40000"
"Existing","2836-066-025","Warehousing, Distribution, Storage","2003","2","40000"
"Existing","2836-017-027","Warehousing, Distribution, Storage","1989","2","40000"
"Existing","2407-012-021","Warehousing, Distribution, Storage","1999","2","40000"
"Existing","2209-038-043","Warehousing, Distribution, Storage","2011","2","40000"
"Existing","2048-011-023","Warehousing, Distribution, Storage","1985","2","40000"
"Existing","430-221-24","warehouse","1980","2","40000"
"Planned and Approved","redwood truck and trailer storage","TBD","2025","2","40000"
"Existing","161260021","warehouse/dry storage","1986","2","39000"
"Existing","142150076","warehouse/dry storage","1989","2","39000"
"Existing","249140027","warehouse/dry storage","2016","2","39000"
"Existing","101370005","warehouse/dry storage","1997","2","39000"
"Existing","011336160","storage warehouse","2005","2","39000"
"Existing","011011114","storage warehouse","2021","2","39000"
"Existing","013021120","storage warehouse","1985","2","39000"
"Existing","014423232","storage warehouse","1980","2","39000"
"Existing","021123237","storage warehouse","2000","2","39000"
"Existing","022901276","storage warehouse","2021","2","39000"
"Existing","022926224","storage warehouse","1981","2","39000"
"Existing","023110122","storage warehouse","1996","2","39000"
"Existing","022926304","storage warehouse","2007","2","39000"
"Existing","023705101","storage warehouse","1988","2","39000"
"Existing","023805127","storage warehouse","1989","2","39000"
"Existing","023818552","storage warehouse","1989","2","39000"
"Existing","041522112","storage warehouse","1986","2","39000"
"Existing","041521123","storage warehouse","1988","2","39000"
"Existing","104914131","storage warehouse","2021","2","39000"
"Existing","108336110","storage warehouse","2006","2","39000"
"Existing","119222111","storage warehouse","1998","2","39000"
"Existing","312926178","storage warehouse","2007","2","39000"
"Existing","8760-015-011","Warehousing, Distribution, Storage","1981","2","39000"
"Existing","8728-001-016","Warehousing, Distribution, Storage","1984","2","39000"
"Existing","8592-003-052","Warehousing, Distribution, Storage","1990","2","39000"
"Existing","8578-011-012","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","8437-019-014","Warehousing, Distribution, Storage","2017","2","39000"
"Existing","8378-027-011","Warehousing, Distribution, Storage","2002","2","39000"
"Existing","8378-013-080","Warehousing, Distribution, Storage","2004","2","39000"
"Existing","8371-016-038","Warehousing, Distribution, Storage","1990","2","39000"
"Existing","8371-011-015","Warehousing, Distribution, Storage","1981","2","39000"
"Existing","8348-022-008","Warehousing, Distribution, Storage","2007","2","39000"
"Existing","8242-030-014","Warehousing, Distribution, Storage","1998","2","39000"
"Existing","8242-024-097","Warehousing, Distribution, Storage","2009","2","39000"
"Existing","8125-016-027","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","8117-012-080","Warehousing, Distribution, Storage","2001","2","39000"
"Existing","8005-015-041","Warehousing, Distribution, Storage","2000","2","39000"
"Existing","7439-009-009","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","7429-006-017","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","7377-008-009","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","7347-018-031","Warehousing, Distribution, Storage","1982","2","39000"
"Existing","7339-006-033","Warehousing, Distribution, Storage","2009","2","39000"
"Existing","7315-040-006","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","7216-031-003","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","7212-021-052","Warehousing, Distribution, Storage","1985","2","39000"
"Existing","7102-001-031","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","7010-016-051","Warehousing, Distribution, Storage","1986","2","39000"
"Existing","7005-006-045","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","7005-005-093","Warehousing, Distribution, Storage","1984","2","39000"
"Existing","7003-013-012","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","7003-013-008","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","6336-013-011","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","6336-007-048","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","6332-006-021","Warehousing, Distribution, Storage","1996","2","39000"
"Existing","6308-015-052","Warehousing, Distribution, Storage","1987","2","39000"
"Existing","6304-021-024","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","6303-022-010","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","6302-006-026","Warehousing, Distribution, Storage","2015","2","39000"
"Existing","6302-001-029","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","6224-020-015","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","6132-041-022","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","6102-018-015","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","5627-027-058","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","5192-017-002","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","5132-007-042","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","4032-002-039","Warehousing, Distribution, Storage","1987","2","39000"
"Existing","3271-027-002","Warehousing, Distribution, Storage","2002","2","39000"
"Existing","3134-029-023","Warehousing, Distribution, Storage","1990","2","39000"
"Existing","2805-017-024","Warehousing, Distribution, Storage","2000","2","39000"
"Existing","2640-016-028","Warehousing, Distribution, Storage","2002","2","39000"
"Existing","2603-025-022","Warehousing, Distribution, Storage","2006","2","39000"
"Existing","2506-011-010","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","2408-027-029","Warehousing, Distribution, Storage","1985","2","39000"
"Existing","2324-002-032","Warehousing, Distribution, Storage","1993","2","39000"
"Existing","2221-010-008","Warehousing, Distribution, Storage","2002","2","39000"
"Existing","2162-005-131","Warehousing, Distribution, Storage","2004","2","39000"
"Existing","2109-002-028","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","2109-002-027","Warehousing, Distribution, Storage","1980","2","39000"
"Existing","2057-001-026","Warehousing, Distribution, Storage","2005","2","39000"
"Existing","2057-001-020","Warehousing, Distribution, Storage","1980","2","39000"
"Planned and Approved","goodman industrial park iii","TBD","2025","2","39000"
"Existing","869140036","warehouse/dry storage","1980","2","38000"
"Existing","246150019","warehouse/dry storage","1988","2","38000"
"Existing","167110033","warehouse/dry storage","1980","2","38000"
"Existing","170260032","warehouse/dry storage","1980","2","38000"
"Existing","305170045","warehouse/dry storage","2010","2","38000"
"Existing","294640005","commercial land / misc imps","1980","2","38000"
"Existing","011339609","storage warehouse","1991","2","38000"
"Existing","011339544","storage warehouse","2002","2","38000"
"Existing","021126119","storage warehouse","2017","2","38000"
"Existing","020901353","storage warehouse","1991","2","38000"
"Existing","020947110","storage warehouse","1995","2","38000"
"Existing","022926218","distribution warehouse","1986","2","38000"
"Existing","023705205","transit warehouse (truck terminal)","1980","2","38000"
"Existing","023809172","storage warehouse","1990","2","38000"
"Existing","023805126","storage warehouse","1989","2","38000"
"Existing","023822114","storage warehouse","1984","2","38000"
"Existing","026672104","storage warehouse","1990","2","38000"
"Existing","041522109","storage warehouse","1980","2","38000"
"Existing","102113217","storage warehouse","2017","2","38000"
"Existing","8710-013-025","Warehousing, Distribution, Storage","1984","2","38000"
"Existing","8707-015-010","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","8619-019-037","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","8619-010-092","Warehousing, Distribution, Storage","1991","2","38000"
"Existing","8619-010-055","Warehousing, Distribution, Storage","1983","2","38000"
"Existing","8617-020-009","Warehousing, Distribution, Storage","2002","2","38000"
"Existing","8550-005-058","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","8545-024-009","Warehousing, Distribution, Storage","2000","2","38000"
